commit	val_bpb	memory_gb	status	description
1c75183	2.294336	10.8	keep	baseline (DEPTH=4 MATRIX_LR=0.04 TOTAL_BATCH_SIZE=2^16)
eb50f67	2.168616	9.6	keep	remove logit cap (15*tanh) — timing anomaly at step 93 but val_bpb improved
